fitness,lrf,lr0,momentum
0.47077,0.01,0.01,0.937
0.41224,0.009,0.00626,0.99999
0.47333,0.01015,0.01002,0.94601
0.47861,0.01112,0.01073,0.937
0.47466,0.00857,0.00978,0.937
0.48268,0.01102,0.01187,0.937
0.48067,0.0116,0.01151,0.71206
0.48216,0.01545,0.0088,0.7016
0.358,0.01112,0.01123,0.99999
0.48011,0.01112,0.01073,0.93799
0.48092,0.01382,0.01073,0.90533
0.46814,0.00902,0.01425,0.937
0.4845,0.01551,0.00888,0.7
0.46836,0.01104,0.01187,0.9272
0.48564,0.01741,0.00814,0.7
0.48545,0.01545,0.007,0.7016
0.48809,0.01628,0.00712,0.7
0.47955,0.0155,0.00888,0.70128
0.48121,0.01884,0.00853,0.7
0.47736,0.01628,0.00685,0.79017
0.48162,0.01414,0.00712,0.73388
0.48258,0.01671,0.00691,0.75752
0.488,0.01673,0.00888,0.7
0.48644,0.01417,0.00544,0.7016
0.47691,0.02123,0.00888,0.83449
0.48683,0.01673,0.00835,0.7
0.48814,0.01658,0.00717,0.7
0.48037,0.02114,0.00835,0.84615
0.48812,0.0169,0.00717,0.71552
0.48293,0.01882,0.00758,0.80557
0.48956,0.01669,0.00712,0.7
0.48877,0.01669,0.00712,0.71845
0.48061,0.01634,0.00647,0.72962
0.48761,0.0159,0.00712,0.7
0.47548,0.01561,0.0062,0.73526
0.48397,0.01618,0.00707,0.75038
0.49143,0.01795,0.00712,0.51755
0.48577,0.01821,0.00698,0.53312
0.48514,0.0166,0.0072,0.70519
0.48722,0.01814,0.00712,0.52133
0.48853,0.01739,0.00778,0.52613
0.48947,0.01795,0.0085,0.44793
0.48941,0.01751,0.00877,0.4
0.48538,0.01691,0.00739,0.56684
0.49162,0.02148,0.00653,0.49437
0.49606,0.02023,0.00677,0.48368
0.49329,0.01942,0.00677,0.48368
0.48887,0.01829,0.00712,0.56746
0.48979,0.02021,0.0072,0.51405
0.49082,0.02047,0.00602,0.48977
0.48275,0.01795,0.00712,0.51803
0.48392,0.0187,0.0062,0.48368
0.49294,0.01951,0.00677,0.4755
0.49002,0.01735,0.00628,0.4755
0.48889,0.02321,0.00589,0.48368
0.49067,0.01976,0.00662,0.49019
0.49106,0.0229,0.00745,0.52361
0.49158,0.02091,0.00393,0.49709
0.49807,0.01942,0.00469,0.52309
0.48594,0.01829,0.00648,0.4755
0.48869,0.01942,0.00469,0.44498
0.48488,0.01878,0.00705,0.5035
0.49783,0.02333,0.00301,0.54683
0.49419,0.01942,0.00473,0.53628
0.49024,0.02455,0.00322,0.43034
0.50059,0.02294,0.00469,0.48569
0.48447,0.02064,0.00619,0.47231
0.4885,0.03018,0.00469,0.61044
0.49337,0.02206,0.00282,0.49174
0.4916,0.02331,0.00469,0.47001
0.49606,0.02023,0.00677,0.48368
0.48751,0.02652,0.00451,0.49761
0.49373,0.01777,0.00514,0.59811
0.48276,0.02102,0.00445,0.67678
0.4858,0.01942,0.00446,0.53052
0.48906,0.01878,0.00444,0.49972
0.48852,0.01975,0.00472,0.51681
0.49117,0.02294,0.00485,0.4
0.48462,0.02745,0.00537,0.45416
0.48924,0.02033,0.00425,0.51775
0.4946,0.021,0.00513,0.41401
0.49053,0.02472,0.00486,0.48569
0.48946,0.01942,0.00503,0.51678
0.48846,0.01952,0.00452,0.48569
0.48457,0.02294,0.00469,0.58893
0.48906,0.02363,0.0039,0.48569
0.49213,0.02294,0.00479,0.48908
0.48951,0.0257,0.00432,0.4681
0.0,0.02332,0.00458,0.48462
0.0,0.02479,0.00469,0.51946
0.0,0.02333,0.003,0.54683
0.0,0.02061,0.00469,0.44956
0.0,0.01942,0.00413,0.51059
0.0,0.01874,0.0037,0.54683
0.4878,0.01942,0.00441,0.51849
0.4908,0.01952,0.00514,0.50941
0.48818,0.03294,0.00385,0.54683
0.48155,0.02384,0.00506,0.55096
0.4943,0.02066,0.00469,0.4
0.48626,0.02268,0.00473,0.47561
0.48716,0.02578,0.00483,0.51218
0.49327,0.0225,0.00308,0.54683
0.48704,0.02294,0.00469,0.48523
0.4825,0.01785,0.00611,0.50891
0.49038,0.0232,0.00269,0.40458
0.48711,0.02209,0.00458,0.47513
0.49608,0.02294,0.005,0.48051
0.49299,0.02333,0.00319,0.43763
0.49102,0.01979,0.00505,0.48569
0.49005,0.0133,0.0043,0.4
0.49733,0.02776,0.00342,0.54683
0.48703,0.02368,0.00292,0.6212
